scope,sample,h,method,n,days
core,all,1,sequential_ols,2523,198
core,all,1,joint_ols,2523,198
core,all,1,pca,2523,198
core,all,1,seq_xgb,2523,198
core,all,1,seq_mlp,2523,198
core,all,1,seq_spline,2523,198
core,all,1,joint_xgb,2523,198
core,all,1,joint_mlp,2523,198
core,all,1,joint_tensor,2523,198
core,all,1,seq_selected,2523,198
core,all,1,seq_shrunk,2523,198
core,all,1,joint_selected,2523,198
core,all,1,joint_shrunk,2523,198
core,matched,1,sequential_ols,724,179
core,matched,1,joint_ols,724,179
core,matched,1,pca,724,179
core,matched,1,seq_xgb,724,179
core,matched,1,seq_mlp,724,179
core,matched,1,seq_spline,724,179
core,matched,1,joint_xgb,724,179
core,matched,1,joint_mlp,724,179
core,matched,1,joint_tensor,724,179
core,matched,1,seq_selected,724,179
core,matched,1,seq_shrunk,724,179
core,matched,1,joint_selected,724,179
core,matched,1,joint_shrunk,724,179
core,all,6,sequential_ols,1726,198
core,all,6,joint_ols,1726,198
core,all,6,pca,1726,198
core,all,6,seq_xgb,1726,198
core,all,6,seq_mlp,1726,198
core,all,6,seq_spline,1726,198
core,all,6,joint_xgb,1726,198
core,all,6,joint_mlp,1726,198
core,all,6,joint_tensor,1726,198
core,all,6,seq_selected,1726,198
core,all,6,seq_shrunk,1726,198
core,all,6,joint_selected,1726,198
core,all,6,joint_shrunk,1726,198
core,matched,6,sequential_ols,724,179
core,matched,6,joint_ols,724,179
core,matched,6,pca,724,179
core,matched,6,seq_xgb,724,179
core,matched,6,seq_mlp,724,179
core,matched,6,seq_spline,724,179
core,matched,6,joint_xgb,724,179
core,matched,6,joint_mlp,724,179
core,matched,6,joint_tensor,724,179
core,matched,6,seq_selected,724,179
core,matched,6,seq_shrunk,724,179
core,matched,6,joint_selected,724,179
core,matched,6,joint_shrunk,724,179
core,all,12,sequential_ols,1340,179
core,all,12,joint_ols,1340,179
core,all,12,pca,1340,179
core,all,12,seq_xgb,1340,179
core,all,12,seq_mlp,1340,179
core,all,12,seq_spline,1340,179
core,all,12,joint_xgb,1340,179
core,all,12,joint_mlp,1340,179
core,all,12,joint_tensor,1340,179
core,all,12,seq_selected,1340,179
core,all,12,seq_shrunk,1340,179
core,all,12,joint_selected,1340,179
core,all,12,joint_shrunk,1340,179
core,matched,12,sequential_ols,724,179
core,matched,12,joint_ols,724,179
core,matched,12,pca,724,179
core,matched,12,seq_xgb,724,179
core,matched,12,seq_mlp,724,179
core,matched,12,seq_spline,724,179
core,matched,12,joint_xgb,724,179
core,matched,12,joint_mlp,724,179
core,matched,12,joint_tensor,724,179
core,matched,12,seq_selected,724,179
core,matched,12,seq_shrunk,724,179
core,matched,12,joint_selected,724,179
core,matched,12,joint_shrunk,724,179
full_macro,all,1,sequential_ols,501,163
full_macro,all,1,joint_ols,501,163
full_macro,all,1,pca,501,163
full_macro,all,1,seq_xgb,501,163
full_macro,all,1,seq_mlp,501,163
full_macro,all,1,seq_spline,501,163
full_macro,all,1,joint_xgb,501,163
full_macro,all,1,joint_mlp,501,163
full_macro,all,1,joint_tensor,501,163
full_macro,all,1,seq_selected,501,163
full_macro,all,1,seq_shrunk,501,163
full_macro,all,1,joint_selected,501,163
full_macro,all,1,joint_shrunk,501,163
full_macro,matched,1,sequential_ols,188,123
full_macro,matched,1,joint_ols,188,123
full_macro,matched,1,pca,188,123
full_macro,matched,1,seq_xgb,188,123
full_macro,matched,1,seq_mlp,188,123
full_macro,matched,1,seq_spline,188,123
full_macro,matched,1,joint_xgb,188,123
full_macro,matched,1,joint_mlp,188,123
full_macro,matched,1,joint_tensor,188,123
full_macro,matched,1,seq_selected,188,123
full_macro,matched,1,seq_shrunk,188,123
full_macro,matched,1,joint_selected,188,123
full_macro,matched,1,joint_shrunk,188,123
full_macro,all,6,sequential_ols,188,123
full_macro,all,6,joint_ols,188,123
full_macro,all,6,pca,188,123
full_macro,all,6,seq_xgb,188,123
full_macro,all,6,seq_mlp,188,123
full_macro,all,6,seq_spline,188,123
full_macro,all,6,joint_xgb,188,123
full_macro,all,6,joint_mlp,188,123
full_macro,all,6,joint_tensor,188,123
full_macro,all,6,seq_selected,188,123
full_macro,all,6,seq_shrunk,188,123
full_macro,all,6,joint_selected,188,123
full_macro,all,6,joint_shrunk,188,123
full_macro,matched,6,sequential_ols,188,123
full_macro,matched,6,joint_ols,188,123
full_macro,matched,6,pca,188,123
full_macro,matched,6,seq_xgb,188,123
full_macro,matched,6,seq_mlp,188,123
full_macro,matched,6,seq_spline,188,123
full_macro,matched,6,joint_xgb,188,123
full_macro,matched,6,joint_mlp,188,123
full_macro,matched,6,joint_tensor,188,123
full_macro,matched,6,seq_selected,188,123
full_macro,matched,6,seq_shrunk,188,123
